#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-365	GARP tethering complex	Golgi-associated retrograde protein complex|VPS fifty three complex|VFT complex|Vps fifty three tethering complex	6239	G5EFV8(0)|O01839(0)|P34561(0)|Q22639(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0042147(retrograde transport, endosome to Golgi)|GO:0000149(SNARE binding)|GO:0000938(GARP complex)	qsproteome:QS116517(identity)|pubmed:21613545(see-also)|complex portal:CPX-365(complex-primary)	Tethering complex required for retrograde traffic from both the early and late endosomes to the Golgi during vesicle trafficking. Links the vesicle through differential SNARE interactions to the Golgi, leading to membrane fusion between late Golgi and endosomal vesicles.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFV8(0)|O01839(0)|P34561(0)|Q22639(0)
CPX-368	Polycomb Repressive Complex 2	Mes-2/Mes-3/Mes-6 complex|PcG protein complex|Polycomb group protein complex|Histone-lysine N-methyltransferase mes complex	6239	O17514(0)|Q10665(0)|Q9GYS1(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-11615841	GO:0031519(PcG protein complex)|GO:0010629(negative regulation of gene expression)|GO:0046976(histone methyltransferase activity (H3-K27 specific))	qsproteome:QS115311(identity)|intenz:2.1.1.43(identity)|pubmed:11320248(see-also)|pubmed:15380065(see-also)|complex portal:CPX-368(complex-primary)	Chromatin repressor complex that di- and tri-methylates lysine 27 of histone H3 in the early embryo and adult germline to transcriptionally repress target genes. In the germline, silencing occurs on the X chromosomes in hermaphrodites thus controlling germline development. 	Stokes radius is approximately 6.93nm. Molecular mass is approximately 255kDa.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O17514(0)|Q10665(0)|Q9GYS1(0)
CPX-372	Zyg-9/Tac-1 complex	Tac-1/Zyg-9 complex	6239	G5ECG0(0)|G5EEM5(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2912701	GO:0061673(mitotic spindle astral microtubule)|GO:1990498(mitotic spindle microtubule)|GO:0005813(centrosome)|GO:0043515(kinetochore binding)|GO:0008017(microtubule binding)|GO:0008017(microtubule binding)|GO:0005813(centrosome)|GO:0007017(microtubule-based process)|GO:0007017(microtubule-based process)|GO:0072687(meiotic spindle)|GO:1990498(mitotic spindle microtubule)	qsproteome:QS116469(identity)|pubmed:12956950(see-also)|pubmed:17666432(see-also)|pubmed:12956952(see-also)|complex portal:CPX-372(complex-primary)	Microtubule stabilizing complex that functions during the early stages of embryonic development to regulate microtubule assembly throughout the cell cycle. Specifically, the complex is required for the formation and growth of astral microtubules and spindle microtubles during mitotic spindle assembly. Thought to function in a partially redundant manner with the Tac-1/Zyg-8 complex to regulate microtubule assembly and processes during interphase, mitosis and meiosis in one-cell stage embryos. The complex directly binds to centosomes throughout the cell cycle and the kinetochore of metaphase and early anaphase chromosomes. At anaphase, the complex is required for mitotic spindle positioning in one-cell stage embryos.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECG0(0)|G5EEM5(0)
CPX-374	Zyg-8/Tac-1 complex	Tac-1/Zyg-8 complex	6239	G5ECG0(0)|Q95QC4(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2912751	GO:0072687(meiotic spindle)|GO:1990498(mitotic spindle microtubule)|GO:0007017(microtubule-based process)	qsproteome:QS116409(identity)|pubmed:17666432(see-also)|complex portal:CPX-374(complex-primary)	Microtubule stabilizing complex that functions during the early stages of embryonic development to regulate microtubule assembly throughout the cell cycle. Thought to function in a partially redundant manner with the Zyg-9/Tac-1 complex to regulate microtubule assembly and processes during interphase, mitosis and meiosis in one-cell stage embyos.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECG0(0)|Q95QC4(0)
CPX-375	brc-1/brd-1 E3 ubiquitin ligase complex	CeBCD complex	6239	B6VQ60(0)|Q21209(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3895773	GO:0006974(cellular response to DNA damage stimulus)|GO:0031436(BRCA1-BARD1 complex)|GO:0061630(ubiquitin protein ligase activity)|GO:1905168(positive regulation of double-strand break repair via homologous recombination)	qsproteome:QS115307(identity)|pubmed:24424777(see-also)|pubmed:14711411(see-also)|pubmed:16628214(see-also)|intenz:2.3.2.27(identity)|complex portal:CPX-375(complex-primary)	E3 ubiquitin ligase containing complex that mediates the formation of 'Lys-6'-linked polyubiquitin chains and coordinates a diverse range of cellular pathways such as DNA damage repair, ubiquitination and transcriptional regulation to maintain genomic stability, initiating homologous recombination at stalled replication forks. The E3-ubiquitin ligase is responsible for ubiquitination at DNA-damage sites in response to ionizing radiation. The complex associates with the E2-ubiquitin-conjugating enzyme, let-70, to form an active E3-ubiquitin ligase on chromatin in response to DNA damage.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	B6VQ60(0)|Q21209(0)
CPX-398	ced-9-egl-1 complex	-	6239	O61667(0)|P41958(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1040390	GO:0043065(positive regulation of apoptotic process)	qsproteome:QS117649(identity)|wwpdb:1TY4(identity)|pubmed:10846174(see-also)|pubmed:12894216(see-also)|pubmed:15383288(see-also)|complex portal:CPX-398(complex-primary)	Complex plays a major role in programmed cell death (apoptosis). Egl-1 binds to and directly inhibits the activity of ced-9, releasing the cell death activator ced-4 from the ced-9-ced-4 complex and allowing ced-4 to activate the cell-killing caspase ced-3.	The complex melting temperature is 74 degrees Celsius.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O61667(0)|P41958(0)
CPX-399	ced-9-ced-4 complex	-	6239	P30429(0)|P41958(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-496086	GO:0043065(positive regulation of apoptotic process)|GO:0005739(mitochondrion)	qsproteome:QS134044(identity)|pubmed:15383288(see-also)|pubmed:10846174(see-also)|wwpdb:2a5y(identity)|pubmed:16167070(see-also)|pubmed:16208361(see-also)|complex portal:CPX-399(complex-primary)	Complex plays a major role in programmed cell death (apoptosis), by causing the sequestration and inhibition of ced-4. egl-1 binds to and directly inhibits the activity of ced-9, releasing the cell death activator ced-4 from the ced-9-ced-4 complex and allowing ced-4 to activate the cell-killing caspase ced-3. 	The complex has been speculated to be either a heterotrimer or heterotetramer. With a 2:1 stoichiometry, the complex contains two molecules of ced-4 and one molecule of ced-9 and has a molecular mass of 150 kDa. As a 2:2 heterotetramer the complex has a molar mass of 175 kDa.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P30429(0)|P41958(0)
CPX-400	Bub-1-Bub-3 complex	Bub-1/Bub-3 complex	6239	Q21776(0)|Q9XWH0(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-344750	GO:1990298(bub1-bub3 complex)|GO:1990299(Bub1-Bub3 complex localization to kinetochore)|GO:0007094(mitotic spindle assembly checkpoint)	qsproteome:QS134041(identity)|pubmed:25987605(see-also)|pubmed:14704431(see-also)|complex portal:CPX-400(complex-primary)	Present throughout the cell cycle, this complex promotes spindle assembly checkpoint signalling. The spindle checkpoint ensures accurate chromosome segregation by sending a signal from an unattached kinetochore to inhibit anaphase onset. Localises to the kinetochore region of mitotic chromosomes to promote the onset of anaphase in a fashion that is independent of its function in spindle assembly checkpoint signalling and chromosome alignment. The complex also recruits other spindle components to the kinetochore region.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q21776(0)|Q9XWH0(0)
CPX-401	Mitotic checkpoint complex, Mad-1-Mad-2-Bub-1-Bub-3 subcomplex	mdf-1-mdf-2-bub-1-bub-3 complex	6239	G5EFM0(0)|Q21776(0)|Q9NGT3(0)|Q9XWH0(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0000776(kinetochore)|GO:0007094(mitotic spindle assembly checkpoint)	qsproteome:QS134406(identity)|pubmed:24567362(see-also)|complex portal:CPX-401(complex-primary)	This complex forms during mitosis, as a result of the activation of the spindle checkpoint. bub-3 and bub-1 are associated through the cell cycle, however, the addition of mdf-1 is cell cycle dependent. The interaction of bub-1 and mdf-1 recruits mdf-1 to unattached kinetochores during mitosis and between homologous chromosomes in early anaphase of meiosis I.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFM0(0)|Q21776(0)|Q9NGT3(0)|Q9XWH0(0)
CPX-402	Mitotic spindle assembly checkpoint mad-1-mad-2 complex	mad-1/mad-2 complex|mad-1-mad-2 core complex|mdf-1/mdf-2 complex	6239	G5EFM0(0)|Q9NGT3(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-345059	GO:1990728(mitotic spindle assembly checkpoint MAD1-MAD2 complex)|GO:0000776(kinetochore)|GO:0033316(meiotic spindle assembly checkpoint)|GO:0007094(mitotic spindle assembly checkpoint)	qsproteome:QS114857(identity)|pubmed:24567362(see-also)|complex portal:CPX-402(complex-primary)	Acts at the spindle checkpoint, in a surveillance mechanism that mediates a delay in the onset of anaphase, until all chromosomes are properly attached to the mitotic or meiotic spindle. Required for the checkpoint response to absence of spindle tension, localising only to unattached kinetochores but not to attached kinetochores that lack tension, and participate in a bipolar orientation defect signalling pathway. Interaction between mdf-1 and bub-1 recruits the mad-1-mad-2 complex to unattached kinetochores.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFM0(0)|Q9NGT3(0)
