#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-543	PCNA homotrimer	Proliferating Cell Nuclear Antigen complex|PCNA|Proliferating Cell Nuclear Antigen	7227	P17917(3)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0030337(DNA polymerase processivity factor activity)|GO:0045740(positive regulation of DNA replication)|GO:0005634(nucleus)|GO:0043626(PCNA complex)|GO:0045739(positive regulation of DNA repair)|GO:0003677(DNA binding)|GO:0003682(chromatin binding)|GO:0003684(damaged DNA binding)	qsproteome:QS199677(identity)|pubmed:15210332(see-also)|wwpdb:4hk1(identity)|complex portal:CPX-543(complex-primary)	Role in DNA replication, repair, cell-cycle control, and chromatin remodeling. Exists as a double back-to-back homotrimeric ring which encircles double-stranded DNA and slides spontaneously across it. Loaded onto at template-primer junctions synthesized on unwound DNA during S phase in an ATP-dependent process by replication factor C (CPX-472), where it recruits replicative DNA polymerases and stimulates their activity. The process of chromatin assembly is tightly coupled to DNA replication or repair and the double homotrimer allows DNA polymerase delta to binds to one homotrimer whilst the chromatin assembly factor-1 CNOT7 binds to the other (By similarity).	The homotrimer weighs approximately 100kDa, the double homotrimer 200kDa. The inner cavity of the protein ring has a diameter of about 30 A. The inner surface of the ring has a positive electrostatic potential with as many as 10 positively charged amino acids per subunit protruding from alpha helices inward into the central cavity.	Homotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P17917(3)
CPX-936	HOPS tethering complex	Homotypic fusion and vacuole protein sorting complex	7227	Q24314(1)|Q7PL76(0)|Q8SX81(0)|Q9VEA2(0)|Q9VHG1(0)|Q9Y1I2(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0030897(HOPS complex)|GO:0034058(endosomal vesicle fusion)|GO:0035542(regulation of SNARE complex assembly)	qsproteome:QS194293(identity)|pubmed:31194677(see-also)|pubmed:24554766(see-also)|complex portal:CPX-936(complex-primary)	Multisubunit tethering complex involved in endo-lysosomal vesicle trafficking and lysosome biogenesis by cross-linking two membranes, and facilitating the formation of a SNARE complex during fusion. Required for the delivery of vacuolar proteins and homotypic fusion of vacuoles and controls the clearance of late endosomes and autophagosomes during heterophagy and autophagy through promoting fusion of these vesicles with the vacuole. Appears to instigate autophagosome-lysosome fusion by binding autophagosome associated Syx17 (Q9VZC9) and promoting assembly of a trans-SNARE complex Plays a role in crinophagy and eye pigment granule biogenesis.	-	-	-	-	-	-	-	psi-mi:"MI:2228"(ceitec)	Q24314(1)|Q7PL76(0)|Q8SX81(0)|Q9VEA2(0)|Q9VHG1(0)|Q9Y1I2(1)
CPX-1897	Fused-Smurf ubiquitin ligase complex	-	7227	P23647(0)|Q9V853(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3405413	GO:1990353(Fused-Smurf ubiquitin ligase complex)|GO:0004842(ubiquitin-protein ligase activity)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0030510(regulation of BMP signaling pathway)	qsproteome:QS115255(identity)|intenz:6.3.2(identity)|complex portal:CPX-1897(complex-primary)	Regulates ubiquitination and proteolysis of the BMP receptor Thickveins in cystoblasts, potentially by controlling Tkv ubiquitination and degradation.	-	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P23647(0)|Q9V853(0)
CPX-2739	Actin-related protein 2/3 complex, Arpc3A variant	Arp 2/3 complex	7227	O97182(0)|P32392(0)|P45888(0)|Q9VF28(0)|Q9VIM5(0)|Q9VMH2(0)|Q9VQD8(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0015629(actin cytoskeleton)|GO:0005885(Arp2/3 protein complex)|GO:0034314(Arp2/3 complex-mediated actin nucleation)|GO:0003779(actin binding)|GO:0005524(ATP binding)	flybase:FBgg0000158(identity)|pubmed:14757065(see-also)|complex portal:CPX-2739(complex-primary)|intact:EBI-9024613(secondary-ac)|pubmed:11854308(see-also)|qsproteome:QS120559(identity)	Assembles branched actin networks capable of generating protrusive force and resisting mechanical deformation by stimulating new filament growth from the side of existing actin filaments associated with regions of the plasma membrane. Purified Arp2/3 complex is inactive but stimulates rapid actin polymerization in the presence of activator proteins, the most potent type being the VCA (Verprolin, cofilin, acidic) domain-containing Wiskott-Aldrich syndrome protein (WASP) family members. The Arp2/3 complex appears to bind VCA and an existing actin filament in a cooperative manner. Upon activation, Arp2 and Arp3 move into the side-by-side arrangement of consecutive actin subunits along the short pitch helical axis of an actin filament, mimicking a filamentous actin dimer and creating a template for new filament assembly. The process appears to be ATP-dependent. 	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	O97182(0)|P32392(0)|P45888(0)|Q9VF28(0)|Q9VIM5(0)|Q9VMH2(0)|Q9VQD8(0)
CPX-7681	Kinetochore MIS12 complex, Nnf1a variant	-	7227	A4V2Z1(1)|Q7JZC9(1)|Q9VS01(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-40256045	GO:0000444(MIS12/MIND type complex)|GO:0008608(attachment of spindle microtubules to kinetochore)|GO:0000922(spindle pole)|GO:0000776(kinetochore)|GO:0005634(nucleus)	qsproteome:QS117147(identity)|complex portal:CPX-7681(complex-primary)|pubmed:26911623(see-also)	Required for normal chromosome alignment and segregation, kinetochore formation during mitosis, proper kinetochore microtubule attachments and for the spindle assembly checkpoint. Binds to the centromeric protein CENP-C (Q9VHP9) to create the foundation on which the mitotic kinetochore is constructed and enable the nucleation of the KMN (Knl1, Mis12, and Ndc80 complex) network.	Mis12 and Nnf1 form an elongated heterodimer that provides a base for all other interactions within the complex. The dimer is stabilized by coiled-coil interactions within the carboxy-termini of both Mis12 and Nnf1.	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	A4V2Z1(1)|Q7JZC9(1)|Q9VS01(1)
CPX-7701	CKM complex	CDK kinase module complex	7227	P25008(0)|Q7KTX8(0)|Q9VT57(0)|Q9VW47(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0004693(cyclin-dependent protein serine/threonine kinase activity)|GO:0036033(mediator complex binding)|GO:1990508(CKM complex)	complex portal:CPX-7701(complex-primary)|pubmed:17290221(see-also)|pubmed:32463833(see-also)|pubmed:26222308(see-also)|intenz:2.7.11.22(identity)|intenz:2.7.11.23(identity)|rhea:RHEA:10216(identity)|rhea:RHEA:46608(identity)	Cyclin-dependent kinase complex which reversibly associates with the Mediator complex (CPX-2308). The mediator complex lacking the CKM complex has a stimulatory effect on basal transcription. In contrast, the mediator complex containing the sub-complex represses basal transcription. This effect is independent of kinase activity but binding of the complex to the Mediator may interfere with RNAPII recruitment and repress transcription re-initiation.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	P25008(0)|Q7KTX8(0)|Q9VT57(0)|Q9VW47(0)
CPX-7850	2-(3-amino-3-carboxypropyl)histidine synthase complex	Diphthamide biosynthesis complex	7227	CHEBI:49883(0)|Q9VFE9(0)|Q9VTM2(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:1902494(catalytic complex)|GO:0017183(peptidyl-diphthamide biosynthetic process from peptidyl-histidine)|GO:0090560(2-(3-amino-3-carboxypropyl)histidine synthase activity)	qsproteome:QS115301(identity)|complex portal:CPX-7850(complex-primary)|pubmed:30877278(see-also)	Essential for the first step of biosynthesis of diphthamide, a unique post-translationally modified histidine residue on EEF2 (P13060), a GTPase that is essential in the elongation step of translation. The complex catalyzes the addition of an aminocarboxypropyl (ACP) group to a specific histidine residue in EEF2 using S-adenosylmethionine as a substrate. A small iron-containing protein DPH3 (Q9VGQ9) donates one Fe atom to convert the [3Fe-4S] cluster in DPH1-DPH2 to a functional [4Fe-4S] cluster during the radical-SAM enzyme catalytic cycle. the [4Fe-4S]2+ cluster in DPH1-DPH2 is reduced to [4Fe-4S]+ using dithionite as the reductant. The [4Fe-4S]+ cluster donates two electrons to SAM, cleaving it, forming an organometallic complex and releasing methylthioadenosine.The organometallic intermediate serves as a stabilized ACP radical and reacts with EEF2 to form an intermediate which is converted to the ACP-modified EEF2 product after loss of a hydrogen atom	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q9VFE9(0)|Q9VTM2(0)
CPX-7941	PHO transcriptional repressor complex, PHO variant	Pho-Repressive Complex|PhoRC complex	7227	Q8ST83(1)|Q9VK33(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3894170	GO:0031519(PcG protein complex)|GO:0043565(sequence-specific DNA binding)|GO:0045892(negative regulation of DNA-templated transcription)	qsproteome:QS115587(identity)|complex portal:CPX-7941(complex-primary)|wwpdb:4c5e(identity)|wwpdb:4c5g(identity)|wwpdb:4c5h(identity)|pubmed:24186981(see-also)|flybase:FBgg0000289(identity)|pubmed:16618800(see-also)|pubmed:28778878(see-also)	Polycomb group protein complex which binds Polycomb Response Elements (PREs) in the promoters of specific genes, for example HOX genes, and represses transcription. Recruits additional proteins to form higher-order polycomb repressive complexes. 	The Pho spacer as a novel interacting motif formed by two anti-parallel beta strands connected by a short beta hairpin that tightly binds to a hydrophobic cavity in the Sfmbt MBT (IPR004092) repeat region.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q8ST83(1)|Q9VK33(1)
CPX-7942	PHO transcriptional repressor complex, PHOL variant	Pho-Repressive Complex|PhoRC-L complex	7227	Q9VK33(1)|Q9VSZ3(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3894182	GO:0031519(PcG protein complex)|GO:0043565(sequence-specific DNA binding)|GO:0045892(negative regulation of DNA-templated transcription)	qsproteome:QS189349(identity)|flybase:FBgg0000653(identity)|pubmed:28778878(see-also)|complex portal:CPX-7942(complex-primary)|pubmed:24186981(see-also)|pubmed:16618800(see-also)	Polycomb group protein complex which binds Polycomb Response Elements (PREs) in the promoters of specific genes, for example HOX genes, and represses transcription. Recruits additional proteins to form higher-order polycomb repressive complexes. 	The Pho spacer as a novel interacting motif formed by two anti-parallel beta strands connected by a short beta hairpin that tightly binds to a hydrophobic cavity in the Sfmbt MBT (IPR004092) repeat region.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q9VK33(1)|Q9VSZ3(1)
CPX-7943	NatC N-alpha-acetyltransferase complex	-	7227	Q8IPZ7(0)|Q95RC0(0)|Q9W1A2(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0004596(peptide alpha-N-acetyltransferase activity)|GO:1904663(regulation of N-terminal peptidyl-methionine acetylation)|GO:0031417(NatC complex)	qsproteome:QS190679(identity)|intenz:2.3.1.256(identity)|rhea:RHEA:50520(identity)|pubmed:26861501(see-also)|rhea:RHEA:50524(identity)|rhea:RHEA:50528(identity)|rhea:RHEA:50560(identity)|rhea:RHEA:50532(identity)|flybase:FBgg0000653(identity)|complex portal:CPX-7943(complex-primary)	N(alpha)-acetyltransferases responsible for the covalent attachment of an acetyl group (CH3CO) to the free alpha-amino group (NH3+) at the N-terminal end of a polypeptide, one of the most common co-translational modifications. This changes the electrostatic properties of proteins and therefore protein function, stability and localization. NatC acetylates N-terminal methionine of proteins with hydrophobic/amphipathic N-termini (Met-Leu- Met-Ile-, Met-Phe-, Met-Trp-, Mat-Val-, Met-Met-, Met-His-, and Met-Lys-) to varying degrees	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q8IPZ7(0)|Q95RC0(0)|Q9W1A2(0)
