#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list	Species	parsed	has_nonprot_entity	has_unknown_stoich	protein_entries	N_subunits	N_unique_proteins	overlaps
CPX-811	Ska1 complex	Spindle and kinetochore-associated complex	6239	Q9BI86(1)|Q9XWS0(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0051988(regulation of attachment of spindle microtubules to kinetochore)|GO:0008017(microtubule binding)|GO:0005874(microtubule)	qsproteome:QS114869(identity)|pubmed:23085020(see-also)|complex portal:CPX-811(complex-primary)	A microtubule-binding subcomplex of the outer kinetochore that is essential for proper chromosome segregation. The Ska1 complex is a direct component of the kinetochore-microtubule interface and directly associates with microtubules as oligomeric assemblies. The complex tracks with depolymerizing microtubule ends and associates with the microtubule lattice and curved protofilaments, and thus facilitates the processive movement of microspheres along a microtubule in a depolymerization-coupled manner. Synergistically enhances the affinity of the Ndc80 complex (CPX-806) for microtubules, which may furthermore allow the Ndc80 complex to track depolymerizing microtubules.	-	Heterotrimer	-	-	-	-	-	psi-mi:""MI:0486""(UniProt)	Q9BI86(1)|Q9XWS0(2)	C. elegans		FALSE	FALSE		3	2	NA
CPX-3463	Central spindlin complex	-	6239	Q8MQ03(2)|Q9XUS9(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16154303	GO:0008017(microtubule binding)|GO:0051255(spindle midzone assembly)|GO:0005819(spindle)|GO:0097149(centralspindlin complex)|GO:1903562(microtubule bundle formation involved in mitotic spindle midzone assembly)	qsproteome:QS115315(identity)|pubmed:11782313(see-also)|pubmed:15854913(see-also)|pubmed:19056985(see-also)|complex portal:CPX-3463(complex-primary)|pubmed:34588311(see-also)|wwpdb:7eqc(identity)	Microtubule-dependent and Rho-mediated signaling complex. Plays a key role in the formation of the central spindle (a set of microtubule bundles that forms between the separating chromosomes) during late anaphase and contractile ring formation during cytokinesis. During anaphase, activates and targets the guanine nucleotide exchange factor (GEF) ect-2 (Q9U364) to the central spindle, where it can activate the guanosine triphosphatase (GTPase) Rho family member rho-1 (Q22038). rho-1 signalling is controlled by the central spindle. The complex promotes the formation of microtubule bundles acting cooperatively with several other protein complexes to bundle antiparallel microtubules during anaphase. Localization at the central spindle requires the Chromosome passenger complex (CPX-3461). Furthermore, the complex is directly phosphorylated by the Chromosome passenger complex. Phosphorylation of the complex regulates its activity during cytokinesis. The complex may also stimulate rho-1 activation at the cell membrane, which in turn orchestrates contractile ring assembly and constriction during cytokinesis.	Molecular weight is ~300kDa. The centralspindlin backbone undergoes liquid-liquid phase separation. The condensation of centralspindlin requires two patches of basic residues from ZEN-4 and multiple acidic residues at the intrinsically disordered region of CYK-4 These complementary charged residues are critical for the microtubule bundling activity of centralspindlin and for the assembly of the central spindle.	Heterotetramer.	-	-	-	-	-	psi-mi:""MI:0486""(UniProt)	Q8MQ03(2)|Q9XUS9(2)	C. elegans		FALSE	FALSE		4	2	NA
CPX-3983	Hsp90-cdc-37-pph-5 phosphatase complex	daf-21-cdc-37-pph-5 complex|CeHsp90-PPH-5 complex|Hsp90/daf-21-cdc-37-pph-5 complex	6239	O02108(1)|Q18688(2)|Q9NES8(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0004721(phosphoprotein phosphatase activity)|GO:0008287(protein serine/threonine phosphatase complex)|GO:0101031(chaperone complex)|GO:0019887(protein kinase regulator activity)	qsproteome:QS116425(identity)|complex portal:CPX-3983(complex-primary)|intenz:3.1.3.16(identity)|pubmed:26593036(see-also)|pubmed:20880838(see-also)	Serine-threonine phosphatase complex that most likely dephosphorylates a myriad of proteins involved in different signaling pathways. The complex may also act as a chaperone complex that is required for the proper folding, maturation and stabilization of target protein. Implicated in wide ranging cellular processes, including apoptosis, differentiation, DNA damage response, cell survival, regulation of ion channels or circadian rhythms, in response to steroid and thyroid hormones, calcium, fatty acids, TGF-beta as well as oxidative and genotoxic stresses. Dephosphorylates cdc-37-Ser14 within the complex. pph-5 resides in an autoinhibited state, in which its TPR domain interacts with the catalytic region and prevents substrate access to the catalytic pocket. Binding of pph-5 to daf-21/Hsp90 releases the autoinhibition of pph-5 to promote phosphatase activity of the complex.	Cdc-37 binds its target proteins via its N-terminus and the daf-21/Hsp90 subunit via its central domain. Binding of cdc-37 to daf-21/Hsp90 blocks the ATP binding site on daf-21/Hsp90.	Heteropentamer	-	-	-	-	-	psi-mi:""MI:0486""(UniProt)	O02108(1)|Q18688(2)|Q9NES8(2)	C. elegans		FALSE	FALSE		5	3	NA
CPX-5995	Interferon alpha receptor-ligand complex, IFNA2 variant	Type I IFN receptor-ligand complex|Type I interferon receptor-ligand complex|Interferon alpha beta receptor-ligand complex|IFNAR complex	9606	P01563(1)|P17181(1)|P48551(1)	ECO:0000353(physical interaction evidence used in manual assertion)	wwpdb:3SE3	GO:0060337(type I interferon signaling pathway)|GO:0004905(type I interferon receptor activity)|GO:0098586(cellular response to virus)|GO:0004713(protein tyrosine kinase activity)	qsproteome:QS120911(identity)|pubmed:30936491(see-also)|pubmed:23046138(see-also)|complex portal:CPX-5995(complex-primary)|intact:EBI-25755348(secondary-ac)	Receptor-ligand complex whose formation is triggered in response to viruses, bacteria or microbial nucleic acids to engage downstream signalling pathways that activate innate and adaptive immune responses. Following complex assembly TYK2 (P29597) and/or members of the JAK family of tyrosine-protein kinases are activated by reciprocal transphosphorylation. Subsequently, they phosphorylate several tyrosine residues in the membrane-distal, intracellular domains of IFNAR1 and IFNAR2, which, in turn, recruit further effector proteins that propagate downstream signalling. 	There are three different types of IFNs (I-III), and the type I IFNs are the largest family. It can be divided into five classes (IFN-alpha, beta, epsilon, kappa and omega), of which IFN-alpha can be further divided into 12 subtypes (IFNA1,2,4,5,6,7,8,10,14,16,17,21). IFNAR1 and IFNAR2 are present as monomers at the plasma membrane of unstimulated cells. Upon stimulus induction (e.g. viral infection), type I IFNs bind IFNAR1 and IFNAR2 triggering the formation of an active signalling complex.	Heterotrimer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	P01563(1)|P17181(1)|P48551(1)	H. sapiens		FALSE	FALSE		3	3	NA
CPX-6927	IgM - Ig lambda 7 immunoglobulin complex, constant regions	IgM antibody complex	9606	A0M8Q6(2)|P01871(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005886(plasma membrane)|GO:0002250(adaptive immune response)|GO:0003823(antigen binding)|GO:0034987(immunoglobulin receptor binding)|GO:0071753(IgM immunoglobulin complex)|GO:0050853(B cell receptor signaling pathway)|GO:0005615(extracellular space)	qsproteome:QS144683(identity)|pubmed:20176268(see-also)|reactome:R-HSA-983673(see-also)|complex portal:CPX-6927(complex-primary)	Membrane-bound or secreted glycoprotein produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulin-secreting plasma cells. Secreted immunoglobulins (also known as antibodies) mediate the effector phase of humoral immunity, which results in the elimination of bound antigens. The membrane-bound form is found in the majority of normal B-cells alongside with IgD. The soluble form, which represents about 30% of the total serum immunoglobulins, is found almost exclusively as a homopentamer. IgM and IgD molecules present on B cells have identical V regions and antigen-binding sites. IgM antibodies are associated with a primary immune response.	Immunoglobulins consist of two heavy (H) and two light (L) chain subunits. All subunits both contain extracellular constant and variable domains; the variable domains are omitted from this entry as they are unique to each B cell. The antigen binding site is formed by three regions of sequence variability (the complementarity determining regions, or CDRs) of one heavy chain pairing with the three CDRs of its associated light chain. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a specific antigen. Pentameric IgM is is formed by single IgM units linking to each other by disulfide bonds in the CH4 region. The pentamer also contains a polypeptide chain, the J-chain (P01591), which is bound to two of the monomers by means of a disulfide bond. The J-chain facilitates secretion at mucosal surfaces.	Heterotetramer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	A0M8Q6(2)|P01871(2)	H. sapiens		FALSE	FALSE		4	2	NA
CPX-8702	GABA-A receptor, alpha2-beta1-gamma2 complex	GABA-A (a2-b1-g2) receptor|GABRA2/GABRB1/GABRG2 receptor|GABA-A alpha2/beta1/gamma2 receptor|Gamma-aminobutyric acid (GABA-A) receptor	9606	P18505(2)|P18507(1)|P47869(2)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:0004890(GABA-A receptor activity)|GO:0005254(chloride channel activity)|GO:0007214(gamma-aminobutyric acid signaling pathway)|GO:0030594(neurotransmitter receptor activity)|GO:1902711(GABA-A receptor complex)	qsproteome:QS139451(identity)|rhea:RHEA:29823(identity)|signor:SIGNOR-C331(identity)|efo:MONDO:0018214(see-also)|pubmed:29950725(see-also)|pubmed:34417930(see-also)|pubmed:35355020(see-also)|pubmed:18790874(see-also)|complex portal:CPX-2159(inferred-from)|complex portal:CPX-8702(complex-primary)	Ligand-gated chloride channel which acts as the main driver of fast inhibitory neurotransmission in the nervous system. GABA (CHEBI:16865), the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening a chloride ion-selective pore. GABA-A receptors assemble in specific combinations of receptor subunits from a pool of nineteen in a cell-type specific manner, giving rise to receptors with distinct distributions and functions in both physiological and disease states. Their many allosteric sites, which bind compounds with anticonvulsant, anti-anxiety, analgesic, sedative and anaesthetic properties make GABA-A receptors attractive drug targets.	Most GABAA receptors contain one type of alpha and beta subunit, and a single gamma polypeptide in a ratio of 2:2:1; GABA-A receptor, alpha-2/beta-1/gamma-2 (a2b1g2) assembly is thought to contain 2 x a2, 2 x b1 and 1 x g2 subunits, arranged around a central chloride ion channel in a symmetrical fashion. Neurotransmitter binding site is typically at the extracellular interface between two neighboring subunits, where the principal face (+) is made up of three loops (A, B, and C), and the complementary face (-) of three beta-strands and one loop (D, E, F, or G). Binding sites for GABA and benzodiazepine are thought to be at the b1+/a2- and a2+/g2- at the principal and complementary interfaces, respectively. Receptor components comprise an extracellular domain (ECD) rich in beta-sheets, a transmembrane domain (TMD) consisting of four alpha helices, and two intracellular, unstructured loops; a short M1-2 and a longer M3-4 loop, connecting the alpha-helices. The ECDs harbor the sites for the natural agonist GABA and drugs, such as benzodiazepines, while the TMD hosts the binding site for allosteric modulators such as endogenous neurosteroids. 	Heteropentamer	Benzodiazepines (CHEBI:22720); ineffective without the presence of GABA.|Gamma-aminobutyric acid (CHEBI:16865)	Implicated in a variety of neurological and neuropsychiatric disorders resulting from the dysregulation of GABAergic synapses, including epilepsy, eating disorders, autism and bipolar disorders [MONDO:0018214].	-	-	-	psi-mi:""MI:0469""(IntAct)	P18505(2)|P18507(1)|P47869(2)	H. sapiens		FALSE	FALSE		5	3	NA
CPX-6131	TIM8A-TIM13 mitochondrial intermembrane space protein transporter complex	-	9606	O60220(3)|Q9Y5L4(3)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25819983	GO:0042719(mitochondrial intermembrane space protein transporter complex)|GO:0005758(mitochondrial intermembrane space)|GO:0045039(protein insertion into mitochondrial inner membrane)	qsproteome:QS50593(identity)|complex portal:CPX-6131(complex-primary)|efo:Orphanet:52368(see-also)	Facilitates transport of hydrophobic precursors of a distinct subgroup of inner membrane proteins through the aqueous intermembrane space as they exit the TOM40 channel complex (CPX-6121) in the outer membrane. Functions as a chaperone to maintain the hydrophobic membrane proteins in an import competent state and escort substrates to the TIM22 insertion complex (CPX-6124), which mediates protein insertion into the membrane. Loss-of-function mutations in the DDP1/TIMM8A gene can cause the Mohr-Tranebjaerg syndrome.	-	Heterohexamer	-	Mohr-Tranebjaerg syndrome [Orphanet:52368]: An X-linked recessive disorder characterized by postlingual sensorineural deafness with onset in early childhood, dystonia, spasticity, dysphagia, mental deterioration, paranoia and cortical blindness.	-	-	-	psi-mi:""MI:0486""(UniProt)	O60220(3)|Q9Y5L4(3)	H. sapiens		FALSE	FALSE		6	2	NA
CPX-5465	Vesicular SNARE complex SSO2-SEC9-SNC2	Soluble N-ethylmaleimide-sensitive factor (NSF) attachment receptor complex	559292	P33328(1)|P39926(1)|P40357(1)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:0000139(Golgi membrane)|GO:0005886(plasma membrane)|GO:0099500(vesicle fusion to plasma membrane)|GO:0048210(Golgi vesicle fusion to target membrane)|GO:0006893(Golgi to plasma membrane transport)|GO:0006886(intracellular protein transport)|GO:0006906(vesicle fusion)|GO:0031201(SNARE complex)	qsproteome:QS117551(identity)|pubmed:24119662(see-also)|pubmed:17090679(see-also)|pubmed:28112172(see-also)|pubmed:20521906(see-also)|complex portal:CPX-5463(inferred-from)|complex portal:CPX-5465(complex-primary)|pubmed:16912714(see-also)	An exocytic SNARE complex required for the fusion of post-Golgi secretory vesicles with the plasma membrane and is active primarily in vegetative cells. Mediates membrane fusion through the spontaneous assembly of four complementary SNARE (soluble N-ethylmaleimide-sensitive factor attachment protein receptors) motifs. SNAREs bind to each other in-trans, that is, with SNAREs anchored in each apposed tethered membrane. The assembly process leads to a tight connection between the linked membranes and initiates membrane fusion.	When interacting sets of SNAREs are combined, the SNARE motifs spontaneously associate to form elongated coiled coils of four intertwined, parallel alpha-helices (a SNAREpin), with each helix being provided by a different SNARE motif. The centre of the bundle contains 16 stacked layers of interacting side chains. These layers are largely hydrophobic, except for a central 0 layer that contains three highly conserved glutamine (Q) residues and one highly conserved arginine (R) residue. SNARE motifs are classified into Qa-, Qb-, Qc- and R-SNAREs and the hetero-oligomeric SNARE complexes that drive membrane fusion require that each parallel four-helix bundles is invariant and contains one each of the Qa-, Qb-, Qc- and R-SNAREs. SEC9 provides both Qb and Qc SNAREpin from its N- and C-terminal SNARE domain respectively. SSO1 contains an autoinhibitory domain that can prevent premature binary SSO1-SEC9 complex assembly.	Heterotrimer	-	-	-	-	-	psi-mi:""MI:0486""(UniProt)	P33328(1)|P39926(1)|P40357(1)	S. cerevisiae		FALSE	FALSE		3	3	NA
CPX-1832	tRNA-intron endonuclease complex	-	559292	P16658(1)|P39707(1)|Q02825(1)|Q04675(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2610250	GO:0000214(tRNA-intron endonuclease complex)|GO:0000049(tRNA binding)|GO:0000213(tRNA-intron endonuclease activity)|GO:0000379(tRNA-type intron splice site recognition and cleavage)|GO:0005741(mitochondrial outer membrane)	qsproteome:QS178747(identity)|pubmed:25971974(see-also)|intenz:4.6.1.16(identity)|complex portal:CPX-1832(complex-primary)|pubmed:9200603(see-also)	Catalyzes the first step of tRNA splicing, cleaving the splice sites of all the intron-containing pre-tRNAs, either in the nucleus or on the mitochondrial surface after their export out of the nucleus. The products are an intron and two tRNA half-molecules bearing 2',3' cyclic phosphate and 5'-OH termini. There are no conserved sequences at the splice sites, but the intron is invariably located at the same site in the gene, placing the splice sites an invariant distance from the constant structural features of the tRNA body.	-	Heterotetramer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	P16658(1)|P39707(1)|Q02825(1)|Q04675(1)	S. cerevisiae		FALSE	FALSE		4	4	NA
CPX-3250	SCF-Dia2 ubiquitin ligase complex	-	559292	P14682(1)|P52286(1)|Q08273(1)|Q08496(1)|Q12018(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0031509(subtelomeric heterochromatin assembly)|GO:0019005(SCF ubiquitin ligase complex)|GO:0061630(ubiquitin protein ligase activity)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0031573(intra-S DNA damage checkpoint)|GO:0030466(chromatin silencing at silent mating-type cassette)	qsproteome:QS174135(identity)|pubmed:22844255(see-also)|pubmed:21701592(see-also)|pubmed:23172854(see-also)|pubmed:15571813(see-also)|pubmed:15688063(see-also)|intenz:6.3.2.19(identity)|pubmed:14747994(see-also)|complex portal:CPX-3250(complex-primary)	SCF-Dia2 is a member of the SCF (Skp1-Cullin-F-box) E3 ubiquitin ligase family, in which the F-box protein, Dia2, forms the substrate recognition subunit. The complex may form a homodimer. SCF-Dia2 is involved in a number of cellular processes: it has been associated with replication stress response and is considered part of the replisome progression complex responsible for fork stability. CSF-Dia2 has also been linked to part of the intra-S phase DNA damage checkpoint. It is also involved in transcriptional silencing at telomeres and mating type loci, as well as regulating transcription by mediating assembly of the RSC complex. It is required for the degradation of Cdc6 in G1.	-	Heteropentamer	-	-	-	-	-	psi-mi:""MI:0484""(Saccharomyces Genome Database)	P14682(1)|P52286(1)|Q08273(1)|Q08496(1)|Q12018(1)	S. cerevisiae		FALSE	FALSE		5	5	NA
